Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
89.6,11433242,9,1270360.2,1473584.0,443652,1937205,653887.6,"<unnamed>::pencil_kernel(<unnamed>::DeviceState, <unnamed>::DeviceState, const float *, const float *, float, float *, float *, int, int)"
10.1,1287405,9,143045.0,178786.0,53760,192482,62246.4,"<unnamed>::alpha_kernel(<unnamed>::DeviceState, int, float *)"
0.3,34720,1,34720.0,34720.0,34720,34720,0.0,"<unnamed>::cfl_kernel(<unnamed>::DeviceState, float, float *)"
0.0,864,1,864.0,864.0,864,864,0.0,<unnamed>::finish_cfl_kernel(float *)
