Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
53.7,2527223,3,842407.7,840871.0,838120,848232,5228.2,"<unnamed>::face_kernel(<unnamed>::DeviceState, const float *, float *)"
27.5,1293580,9,143731.1,177185.0,54049,190562,59196.2,"<unnamed>::alpha_kernel(<unnamed>::DeviceState, int, float *)"
18.0,845480,3,281826.7,298499.0,247234,299747,29964.6,"<unnamed>::update_kernel(<unnamed>::DeviceState, <unnamed>::DeviceState, const float *, const float *, float, float *, int)"
0.7,34816,1,34816.0,34816.0,34816,34816,0.0,"<unnamed>::cfl_kernel(<unnamed>::DeviceState, float, float *)"
0.0,896,1,896.0,896.0,896,896,0.0,<unnamed>::finish_cfl_kernel(float *)
